357110.22113779,4947981.28312124,1
357109.20170863,4947979.71856913,1
357108.19133713,4947978.14892771,1
357107.185229,4947976.58249795,1
357106.15349216,4947975.01985384,1
357105.21720049,4947973.47549583,1
357104.30662982,4947971.97987602,1
357103.31767929,4947970.43489031,1
357102.30110085,4947968.80137336,1
357101.34043679,4947967.2380824,1
357100.29011684,4947965.71194731,1
357099.17530501,4947964.22180369,1
357098.05801123,4947962.73372986,1
357096.93282309,4947961.25635949,1
357095.84549012,4947959.66668059,1
357094.93970139,4947957.8871153,1
357094.19680842,4947956.17935996,1
357093.44875514,4947954.44396346,1
357092.74518934,4947952.67427783,1
357092.21884411,4947950.93854994,1
357091.88417818,4947949.01825536,1
357091.67327497,4947947.11853694,1
357091.46036174,4947945.2547246,1
357091.2258207,4947943.41238567,1
357090.9842555,4947941.56494115,1
357090.69376927,4947939.75772159,1
357090.25930099,4947937.98726089,1
357089.69618854,4947936.22569972,1
357089.0052973,4947934.56070446,1
357088.17080111,4947933.04966916,1
357087.44977517,4947931.45367082,1
357086.97378836,4947929.70564341,1
357086.57385939,4947928.03845248,1
357086.16272494,4947926.24723125,1
357086.01777177,4947924.24257181,1
357086.02418756,4947922.04813568,1
357086.17176451,4947920.40626103,1
357086.03850413,4947918.68275749,1
357085.82452171,4947916.88707654,1
357085.69662161,4947915.19486831,1
357085.61110071,4947913.26866172,1
357085.41428068,4947911.23913229,1
357085.11565803,4947909.52489729,1
357084.95746102,4947907.7020514,1
357084.79570095,4947905.87909621,1
357084.67969456,4947904.04826865,1
357084.44370863,4947902.11565422,1
357084.15319069,4947900.22690666,1
357083.79372261,4947898.39579572,1
357083.28498716,4947896.4905746,1
357082.79171561,4947894.70034414,1
357082.3947461,4947892.92153535,1
357081.94625304,4947891.09468208,1
357081.44167668,4947889.28949155,1
357080.84936014,4947887.54129227,1
357080.12435012,4947885.88103643,1
357079.09323968,4947884.30088555,1
357077.83542753,4947883.01409943,1
357076.47419525,4947881.81197477,1
357075.02355949,4947880.60314605,1
357073.60012966,4947879.37517055,1
357072.20939777,4947878.13724085,1
357070.76802569,4947877.08096552,1
357069.25192769,4947876.18899244,1
357067.59522209,4947875.36417341,1
357065.96133831,4947874.47744444,1
357064.33662394,4947873.61292634,1
357062.62814458,4947872.57045247,1
357060.85510978,4947871.45325296,1
357059.8101086,4947870.3062336,1
357058.94085793,4947868.70341956,1
357058.13412408,4947867.02950536,1
357057.42762175,4947865.31005212,1
357056.81086231,4947863.57429081,1
357056.10954409,4947861.83256964,1
357055.47517262,4947860.07318183,1
357054.87309494,4947858.30777574,1
357054.31218638,4947856.52568321,1
357053.73999552,4947854.77442602,1
357053.03853271,4947853.03266008,1
357052.27001054,4947851.32054526,1
357051.45090366,4947849.66436408,1
357050.62126635,4947847.98793852,1
357049.74667631,4947846.31701495,1
357048.84860747,4947844.6513392,1
357047.98045589,4947842.99679723,1
357047.15001266,4947841.36876291,1
357046.29445874,4947839.74035037,1
357045.44707208,4947838.11944038,1
357044.56905012,4947836.51177027,1
357043.71340553,4947834.9237857,1
357042.79107856,4947833.39079958,1
357041.75532311,4947831.98752358,1
357040.64726593,4947830.64139646,1
357039.45283313,4947829.28860281,1
357038.14156812,4947827.76797091,1
357036.96807932,4947826.35429655,1
357035.69250204,4947824.89642073,1
357034.42763477,4947823.5161736,1
357033.4225205,4947822.41698232,1
357032.57106445,4947821.51007509,1
